STATIC_RADIUS,NONSTATIC_SIZE,HOLE_PROB,ASYNCH_ROUNDS,WORK,WEAK_BOUND,STRONG_BOUND,LE_ROUNDS
4,620,0.1,792,9168,2,6,218
4,620,0.1,723,5786,2,6,224
4,620,0.1,727,8070,2,6,223
4,620,0.1,884,6786,2,7,374
4,620,0.1,830,9344,2,7,305
4,620,0.1,791,8984,4,6,202
4,620,0.1,714,9184,4,6,179
4,620,0.1,861,9092,2,6,306
4,620,0.1,834,8754,2,5,322
4,620,0.1,787,8236,2,7,203
4,620,0.1,729,8928,3,6,227
4,620,0.1,710,9638,3,6,199
4,620,0.1,913,10354,3,9,341
4,620,0.1,825,10278,3,6,207
4,620,0.1,820,12326,4,10,171
4,620,0.1,968,8652,2,9,340
4,620,0.1,953,17410,5,11,235
4,620,0.1,717,9158,2,8,205
4,620,0.1,784,9290,2,8,298
4,620,0.1,821,11528,3,7,220
average,620,,809.15,9548.3,2.7,7.1,249.95
4,640,0.1,736,9296,4,5,201
4,640,0.1,705,9436,2,8,217
4,640,0.1,639,6564,1,7,184
4,640,0.1,857,7954,3,7,347
4,640,0.1,826,8762,2,7,210
4,640,0.1,769,10972,1,7,205
4,640,0.1,847,19700,3,10,237
4,640,0.1,708,7234,2,7,246
4,640,0.1,856,13086,2,6,276
4,640,0.1,855,5676,2,7,333
4,640,0.1,1019,13762,3,7,440
4,640,0.1,866,19744,4,10,223
4,640,0.1,834,13002,3,7,274
4,640,0.1,862,8530,2,7,344
4,640,0.1,745,8392,4,7,192
4,640,0.1,767,7796,3,6,287
4,640,0.1,805,7620,3,11,233
4,640,0.1,770,12878,2,8,234
4,640,0.1,735,7498,2,7,197
4,640,0.1,753,7160,2,8,246
average,640,,797.7,10253.1,2.5,7.45,256.3
4,660,0.1,868,8870,2,7,332
4,660,0.1,739,8138,2,9,194
4,660,0.1,846,10296,3,7,181
4,660,0.1,716,6324,3,7,181
4,660,0.1,970,11058,3,10,210
4,660,0.1,936,7636,3,8,318
4,660,0.1,771,7288,2,8,287
4,660,0.1,993,15824,5,12,316
4,660,0.1,943,9466,2,8,350
4,660,0.1,745,9008,2,9,225
4,660,0.1,952,20294,3,11,188
4,660,0.1,778,9248,2,6,181
4,660,0.1,906,11244,5,9,195
4,660,0.1,695,9368,2,8,201
4,660,0.1,817,6730,2,6,226
4,660,0.1,727,11328,2,9,194
4,660,0.1,724,7794,2,5,212
4,660,0.1,846,12250,2,11,195
4,660,0.1,972,9448,2,11,343
4,660,0.1,676,11090,3,9,181
average,660,,831,10135.1,2.6,8.5,235.5
4,680,0.1,899,12698,3,8,331
4,680,0.1,826,11014,4,8,184
4,680,0.1,932,11944,3,9,212
4,680,0.1,743,11354,2,9,198
4,680,0.1,930,10832,2,9,180
4,680,0.1,881,10720,2,9,246
4,680,0.1,968,8904,2,7,389
4,680,0.1,772,6962,1,6,201
4,680,0.1,1096,11288,4,8,346
4,680,0.1,849,12876,3,10,251
4,680,0.1,821,8544,1,8,214
4,680,0.1,829,8150,2,8,216
4,680,0.1,989,8524,2,9,373
4,680,0.1,751,8998,2,10,214
4,680,0.1,826,11506,3,8,190
4,680,0.1,934,11702,2,9,227
4,680,0.1,844,11480,2,7,180
4,680,0.1,957,7884,1,8,355
4,680,0.1,959,8918,2,10,350
4,680,0.1,852,8226,3,7,308
average,680,,882.9,10126.2,2.3,8.35,258.25
4,700,0.1,984,10774,3,6,323
4,700,0.1,901,12552,4,7,275
4,700,0.1,991,14470,3,6,235
4,700,0.1,831,7770,2,7,234
4,700,0.1,841,15526,2,7,200
4,700,0.1,878,10442,2,8,187
4,700,0.1,794,12432,3,7,185
4,700,0.1,1079,17672,4,11,261
4,700,0.1,843,9716,3,9,204
4,700,0.1,831,10134,3,7,182
4,700,0.1,1070,15752,3,11,371
4,700,0.1,809,12846,2,11,225
4,700,0.1,714,7128,2,5,193
4,700,0.1,982,11440,2,7,364
4,700,0.1,1124,12912,3,7,327
4,700,0.1,930,11650,2,11,272
4,700,0.1,826,11386,3,9,223
4,700,0.1,747,7958,3,5,192
4,700,0.1,870,10378,4,5,299
4,700,0.1,769,13450,3,11,184
average,700,,890.7,11819.4,2.8,7.85,246.8
4,720,0.1,911,10508,2,8,361
4,720,0.1,838,9828,3,9,240
4,720,0.1,984,12150,3,9,348
4,720,0.1,858,16512,3,11,177
4,720,0.1,951,13672,3,9,197
4,720,0.1,974,9054,3,6,352
4,720,0.1,961,13346,3,9,222
4,720,0.1,747,10802,3,9,199
4,720,0.1,886,11470,3,11,236
4,720,0.1,814,9360,2,8,271
4,720,0.1,884,16382,3,8,257
4,720,0.1,890,7546,1,8,344
4,720,0.1,1021,15608,3,8,316
4,720,0.1,751,8250,2,8,188
4,720,0.1,987,14910,3,8,225
4,720,0.1,1031,13498,3,7,355
